orig_acct,bene_acct,cash_in,cash_out,debit,deposit,payment,transfer,base_amt,tran_timestamp
560,229,0,0,0,0,1,0,971.39,1610928000
851,645,0,0,0,0,0,1,191.05,1610496000
818,899,0,0,0,0,1,0,664.64,1609632000
685,555,0,0,0,0,1,0,855.95,1611532800
934,982,0,0,0,0,1,0,540.16,1609632000
71,129,0,0,0,0,1,0,384.38,1609718400
984,145,0,0,0,0,0,1,756.21,1609977600
820,371,0,0,0,0,0,1,106.11,1610150400
489,256,0,0,0,0,1,0,126.32,1610323200
821,982,0,0,0,0,1,0,621.91,1609804800
867,295,0,0,0,0,0,1,908.42,1609545600
982,848,0,0,0,0,0,1,389.99,1611878400
844,887,0,0,0,0,1,0,546.96,1610150400
592,53,0,0,0,0,1,0,211.21,1611705600
873,296,1,0,0,0,0,0,363.44,1611446400
869,526,0,1,0,0,0,0,589.97,1609545600
950,987,0,0,0,1,0,0,315.76,1609545600
428,36,0,0,0,0,0,1,376.91,1610582400
876,970,0,0,0,0,0,1,450.57,1610150400
161,850,0,0,0,0,0,1,1029.56,1610236800
968,416,0,0,0,0,0,1,309.94,1611705600
901,212,0,0,0,0,0,1,298.79,1611014400
188,236,0,1,0,0,0,0,713.0,1609545600
877,836,0,0,0,0,0,1,536.72,1609632000
958,789,0,0,0,0,1,0,644.52,1611100800
987,338,0,0,0,1,0,0,342.86,1610323200
911,374,0,0,0,0,1,0,967.13,1611100800
963,681,0,1,0,0,0,0,739.37,1611619200
954,498,1,0,0,0,0,0,272.96,1609545600
913,873,0,0,1,0,0,0,298.77,1609718400
646,866,0,1,0,0,0,0,394.06,1611964800
707,960,0,1,0,0,0,0,961.98,1609459200
981,442,0,1,0,0,0,0,455.23,1611878400
931,431,0,1,0,0,0,0,178.0,1609977600
978,513,0,0,0,0,0,1,771.12,1611100800
622,187,0,1,0,0,0,0,323.5,1610409600
704,299,0,0,0,1,0,0,780.3,1610236800
537,131,0,0,0,0,0,1,897.34,1610409600
921,879,0,0,1,0,0,0,152.9,1611532800
906,843,0,0,0,0,0,1,565.94,1611964800
493,385,0,1,0,0,0,0,825.25,1609891200
962,993,0,0,0,1,0,0,427.23,1609632000
913,955,0,0,0,0,0,1,515.05,1611532800
974,681,0,0,0,0,0,1,151.23,1611360000
750,323,0,0,0,0,0,1,526.67,1611100800
997,898,0,0,0,0,0,1,699.88,1610928000
812,970,0,0,0,1,0,0,246.85,1611446400
629,612,0,0,0,0,0,1,758.75,1612051200
934,982,0,0,0,0,1,0,816.2,1611446400
836,945,0,1,0,0,0,0,828.83,1611705600
985,965,0,0,0,0,0,1,197.95,1609632000
997,705,1,0,0,0,0,0,190.3,1610323200
126,812,0,0,0,0,1,0,634.87,1609545600
974,560,0,0,0,0,1,0,968.33,1611360000
997,595,0,0,0,0,0,1,602.19,1611532800
978,669,0,0,0,0,0,1,188.31,1610496000
987,910,0,0,0,0,0,1,921.55,1609718400
871,944,0,1,0,0,0,0,151.3,1609977600
20,880,0,0,0,0,0,1,777.12,1610841600
531,213,0,0,0,0,1,0,161.79,1609545600
974,560,0,0,0,0,1,0,409.63,1609545600
895,528,1,0,0,0,0,0,644.59,1610409600
164,348,0,0,0,0,1,0,509.02,1609718400
41,923,1,0,0,0,0,0,856.1,1610668800
986,802,0,1,0,0,0,0,459.33,1609459200
996,940,0,0,0,1,0,0,354.98,1609459200
978,669,0,0,0,0,0,1,245.04,1611100800
979,255,0,1,0,0,0,0,959.91,1611964800
997,705,1,0,0,0,0,0,321.42,1610928000
