orig_acct,bene_acct,cash_in,cash_out,debit,deposit,payment,transfer,base_amt,tran_timestamp
737,747,0,0,0,0,0,1,706.08,1485561600
817,855,1,0,0,0,0,0,224.89,1485561600
975,389,0,1,0,0,0,0,391.22,1487030400
190,966,0,0,0,0,1,0,326.04,1484179200
17,511,0,0,0,0,0,1,247.74,1486425600
924,366,1,0,0,0,0,0,701.9,1487808000
989,220,1,0,0,0,0,0,464.95,1486166400
999,315,0,0,0,0,0,1,719.68,1486512000
916,697,0,1,0,0,0,0,172.1,1485993600
430,54,1,0,0,0,0,0,712.2,1488326400
141,398,0,0,0,0,0,1,826.7,1486339200
869,526,1,0,0,0,0,0,614.92,1483315200
935,264,0,0,0,0,0,1,710.06,1485388800
973,240,0,0,1,0,0,0,384.73,1486512000
128,818,0,0,0,1,0,0,783.3,1488240000
560,229,0,0,0,0,0,1,584.42,1487116800
513,293,0,0,0,0,0,1,602.99,1487116800
882,889,1,0,0,0,0,0,761.37,1487116800
493,385,0,0,0,0,0,1,300.22,1484870400
151,310,0,0,0,1,0,0,242.55,1484784000
792,932,1,0,0,0,0,0,814.18,1487289600
971,891,1,0,0,0,0,0,344.31,1486857600
772,210,0,0,0,0,1,0,564.31,1489190400
984,882,0,0,0,0,0,1,318.26,1488585600
23,821,0,1,0,0,0,0,274.54,1487980800
503,147,0,0,0,0,0,1,772.47,1489104000
902,529,0,0,0,0,1,0,937.04,1487894400
863,933,0,1,0,0,0,0,398.43,1486425600
668,284,0,1,0,0,0,0,272.35,1487980800
781,493,1,0,0,0,0,0,264.13,1487548800
423,173,1,0,0,0,0,0,786.7,1484524800
494,280,0,0,0,0,0,1,871.53,1485734400
428,302,0,0,0,0,0,1,897.29,1487894400
735,442,0,1,0,0,0,0,627.93,1485561600
659,795,0,1,0,0,0,0,654.37,1487116800
493,385,0,0,0,0,0,1,973.99,1487289600
140,434,0,0,0,0,0,1,973.88,1487721600
425,174,0,0,0,1,0,0,102.26,1486166400
584,293,1,0,0,0,0,0,752.75,1484870400
934,982,0,1,0,0,0,0,560.14,1483401600
780,61,0,0,0,0,0,1,990.67,1489190400
856,977,0,0,1,0,0,0,785.06,1487980800
731,693,0,0,0,0,0,1,738.61,1487980800
156,870,0,0,0,0,0,1,799.48,1488844800
527,102,1,0,0,0,0,0,197.3,1485302400
24,890,0,0,1,0,0,0,623.22,1483747200
692,923,0,0,0,0,0,1,264.39,1485388800
674,397,0,0,0,0,0,1,458.53,1484870400
79,733,1,0,0,0,0,0,764.4,1487721600
411,201,0,1,0,0,0,0,732.07,1484956800
889,999,0,0,0,0,0,1,367.02,1485907200
712,848,0,0,0,0,0,1,428.51,1484179200
192,861,0,0,0,0,0,1,934.0,1485561600
80,992,0,0,0,0,0,1,209.88,1485648000
934,982,0,1,0,0,0,0,396.17,1485820800
714,551,0,0,0,0,0,1,966.19,1486684800
816,979,1,0,0,0,0,0,926.4,1485302400
764,934,0,0,0,0,1,0,835.32,1487462400
424,60,0,0,0,1,0,0,136.44,1488672000
807,730,1,0,0,0,0,0,327.02,1486857600
429,111,0,0,0,0,1,0,545.92,1487548800
879,269,0,0,0,0,0,1,937.08,1484784000
924,306,0,1,0,0,0,0,805.41,1485475200
636,213,0,0,0,0,0,1,103.91,1489190400
445,283,0,0,0,0,0,1,651.71,1484092800
406,353,1,0,0,0,0,0,845.62,1484956800
154,661,1,0,0,0,0,0,488.58,1487808000
554,243,0,0,0,0,0,1,355.67,1484092800
959,367,0,0,0,0,0,1,619.29,1487203200
47,814,0,0,0,0,1,0,122.24,1486425600
94,912,0,0,0,0,0,1,194.97,1485216000
13,829,0,0,0,0,0,1,554.69,1487548800
432,398,0,0,0,0,0,1,254.37,1485475200
893,995,0,0,0,0,0,1,180.96,1486512000
131,805,1,0,0,0,0,0,385.93,1487203200
841,336,1,0,0,0,0,0,858.44,1486080000
