[0]	validation_0-error:0.00065	validation_1-error:0.00110	validation_0-f1_err:0.09357	validation_1-f1_err:0.17647
[1]	validation_0-error:0.00049	validation_1-error:0.00110	validation_0-f1_err:0.06857	validation_1-f1_err:0.17647
[2]	validation_0-error:0.00039	validation_1-error:0.00110	validation_0-f1_err:0.05382	validation_1-f1_err:0.17647
[3]	validation_0-error:0.00039	validation_1-error:0.00110	validation_0-f1_err:0.05382	validation_1-f1_err:0.17647
[4]	validation_0-error:0.00035	validation_1-error:0.00110	validation_0-f1_err:0.04789	validation_1-f1_err:0.17647
[5]	validation_0-error:0.00026	validation_1-error:0.00110	validation_0-f1_err:0.03642	validation_1-f1_err:0.17647
[6]	validation_0-error:0.00024	validation_1-error:0.00110	validation_0-f1_err:0.03333	validation_1-f1_err:0.17647
[7]	validation_0-error:0.00020	validation_1-error:0.00110	validation_0-f1_err:0.02778	validation_1-f1_err:0.17647
[8]	validation_0-error:0.00018	validation_1-error:0.00110	validation_0-f1_err:0.02493	validation_1-f1_err:0.17647
[9]	validation_0-error:0.00016	validation_1-error:0.00110	validation_0-f1_err:0.02210	validation_1-f1_err:0.17647
[10]	validation_0-error:0.00010	validation_1-error:0.00110	validation_0-f1_err:0.01377	validation_1-f1_err:0.17647
[11]	validation_0-error:0.00008	validation_1-error:0.00110	validation_0-f1_err:0.01099	validation_1-f1_err:0.17647
[12]	validation_0-error:0.00004	validation_1-error:0.00110	validation_0-f1_err:0.00546	validation_1-f1_err:0.17647
[13]	validation_0-error:0.00002	validation_1-error:0.00110	validation_0-f1_err:0.00272	validation_1-f1_err:0.17647
[14]	validation_0-error:0.00002	validation_1-error:0.00110	validation_0-f1_err:0.00272	validation_1-f1_err:0.17647
[15]	validation_0-error:0.00002	validation_1-error:0.00110	validation_0-f1_err:0.00272	validation_1-f1_err:0.17647
[16]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[17]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[18]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
